cluster1	interaction	cluster2
2.2.0	child	2.2.0.18
2.2.0	child	2.2.0.19
2.2.0	child	2.2.0.20
2.2.0	child	2.2.0.21
2.2.0	child	2.2.0.22
2.2.0	child	2.2.0.23
2.2.0	child	2.2.0.24
2.2.0	child	2.2.0.25
2.2.0	child	2.2.0.26
2.2.0	child	2.2.0.27
2.2.0	child	2.2.0.28
2.2.0	child	2.2.0.29
2.2.0	child	2.2.0.30
2.2.0	child	2.2.0.31
2.2.0	child	2.2.0.32
2.2.0	child	2.2.0.33
2.2.0	child	2.2.0.34
2.2.0	child	2.2.0.35
2.2.0	child	2.2.0.36
2.2.0	child	2.2.0.37
2.2.0	child	2.2.0.38
2.2.0	child	2.2.0.39
2.2.0	child	2.2.0.40
2.2.0	child	2.2.0.41
2.2.0	child	2.2.0.42
2.2.0	child	2.2.0.43
2.2.0	child	2.2.0.44
2.2.0	child	2.2.0.45
2.2.0	child	2.2.0.46
2.2.0	child	2.2.0.47
2.2.0	child	2.2.0.48
2.2	child	2.2.1
2.2.1	child	2.2.1.0
2.2.1	child	2.2.1.1
2.2.1	child	2.2.1.2
2.2.1	child	2.2.1.3
2.2.1	child	2.2.1.4
2.2.1	child	2.2.1.5
2.2.1	child	2.2.1.6
2.2.1	child	2.2.1.7
2.2.1	child	2.2.1.8
2.2	child	2.2.2
2.2.2	child	2.2.2.0
2.2.2	child	2.2.2.1
2.2.2	child	2.2.2.2
2.2.2	child	2.2.2.3
2.2.2	child	2.2.2.4
2.2.2	child	2.2.2.5
2.2.2	child	2.2.2.6
2.2.2	child	2.2.2.7
2.2.2	child	2.2.2.8
2.2	child	2.2.3
2.2	child	2.2.4
2.2	child	2.2.5
2.2.5	child	2.2.5.0
2.2	child	2.2.6
2.2.6	child	2.2.6.0
2.2	child	2.2.7
2.2	child	2.2.8
2.2.8	child	2.2.8.0
2.2	child	2.2.9
2.2.9	child	2.2.9.0
2.2	child	2.2.10
2.2.10	child	2.2.10.0
2.2	child	2.2.11
2.2	child	2.2.12
2.2.12	child	2.2.12.0
2.2.12	child	2.2.12.1
2.2.12	child	2.2.12.2
2.2	child	2.2.13
2.2	child	2.2.14
2	child	2.3
2.3	child	2.3.0
2.3.0	child	2.3.0.0
2.3.0	child	2.3.0.1
2.3.0	child	2.3.0.2
2.3.0	child	2.3.0.3
2.3.0	child	2.3.0.4
2.3.0	child	2.3.0.5
2.3.0	child	2.3.0.6
2.3.0	child	2.3.0.7
2.3.0	child	2.3.0.8
2.3.0	child	2.3.0.9
2.3.0	child	2.3.0.10
2.3.0	child	2.3.0.11
2.3.0	child	2.3.0.12
2.3.0	child	2.3.0.13
2.3.0	child	2.3.0.14
2.3.0	child	2.3.0.15
2.3.0	child	2.3.0.16
2.3.0	child	2.3.0.17
2.3.0	child	2.3.0.18
2.3.0	child	2.3.0.19
2.3.0	child	2.3.0.20
2.3.0	child	2.3.0.21
2.3.0	child	2.3.0.22
2.3.0	child	2.3.0.23
2.3.0	child	2.3.0.24
2.3.0	child	2.3.0.25
2.3.0	child	2.3.0.26
2.3.0	child	2.3.0.27
2.3.0	child	2.3.0.28
2.3.0	child	2.3.0.29
2.3.0	child	2.3.0.30
2.3.0	child	2.3.0.31
2.3.0	child	2.3.0.32
2.3.0	child	2.3.0.33
2.3.0	child	2.3.0.34
2.3.0	child	2.3.0.35
2.3.0	child	2.3.0.36
2.3.0	child	2.3.0.37
2.3.0	child	2.3.0.38
2.3.0	child	2.3.0.39
2.3.0	child	2.3.0.40
2.3.0	child	2.3.0.41
2.3.0	child	2.3.0.42
2.3.0	child	2.3.0.43
2.3.0	child	2.3.0.44
2.3.0	child	2.3.0.45
2.3.0	child	2.3.0.46
2.3	child	2.3.1
2.3.1	child	2.3.1.0
2.3.1	child	2.3.1.1
2.3	child	2.3.2
2.3.2	child	2.3.2.0
2.3.2	child	2.3.2.1
2.3.2	child	2.3.2.2
2.3.2	child	2.3.2.3
2.3.2	child	2.3.2.4
2.3.2	child	2.3.2.5
2.3	child	2.3.3
2.3.3	child	2.3.3.0
2.3	child	2.3.4
2.3	child	2.3.5
2.3	child	2.3.6
2.3.6	child	2.3.6.0
2.3	child	2.3.7
2.3	child	2.3.8
2.3	child	2.3.9
2.3.9	child	2.3.9.0
2.3	child	2.3.10
2	child	2.4
2.4	child	2.4.0
2.4.0	child	2.4.0.0
2.4.0	child	2.4.0.1
2.4.0	child	2.4.0.2
2.4.0	child	2.4.0.3
2.4.0	child	2.4.0.4
2	child	2.5
2.5	child	2.5.0
2.5.0	child	2.5.0.0
2.5.0	child	2.5.0.1
2.5.0	child	2.5.0.2
2.5.0	child	2.5.0.3
2.5.0	child	2.5.0.4
2	child	2.6
2.6	child	2.6.0
2.6.0	child	2.6.0.0
2	child	2.7
2.7	child	2.7.0
2.7.0	child	2.7.0.0
2.7.0	child	2.7.0.1
2	child	2.8
2.8	child	2.8.0
2.8.0	child	2.8.0.0
2.8.0	child	2.8.0.1
2.8.0	child	2.8.0.2
2.8.0	child	2.8.0.3
2.8.0	child	2.8.0.4
2	child	2.9
2.9	child	2.9.0
2.9.0	child	2.9.0.0
2.9.0	child	2.9.0.1
2.9.0	child	2.9.0.2
2.9	child	2.9.1
2.9.1	child	2.9.1.0
2	child	2.10
2.10	child	2.10.0
2.10.0	child	2.10.0.0
2.10	child	2.10.1
2	child	2.11
2.11	child	2.11.0
2.11.0	child	2.11.0.0
2.11.0	child	2.11.0.1
2.11.0	child	2.11.0.2
2.11.0	child	2.11.0.3
2.11.0	child	2.11.0.4
2.11.0	child	2.11.0.5
2.11.0	child	2.11.0.6
2.11	child	2.11.1
2	child	2.12
2.12	child	2.12.0
2.12.0	child	2.12.0.0
2.12.0	child	2.12.0.1
2	child	2.13
2.13	child	2.13.0
2.13.0	child	2.13.0.0
2.13.0	child	2.13.0.1
2.13.0	child	2.13.0.2
2.13	child	2.13.1
2.13.1	child	2.13.1.0
2.13	child	2.13.2
2.13.2	child	2.13.2.0
2.13.2	child	2.13.2.1
2	child	2.14
2.14	child	2.14.0
2.14.0	child	2.14.0.0
2.14.0	child	2.14.0.1
2	child	2.15
2.15	child	2.15.0
2.15.0	child	2.15.0.0
2	child	2.16
2	child	2.17
2	child	2.18
2.18	child	2.18.0
2.18.0	child	2.18.0.0
2.18.0	child	2.18.0.1
2	child	2.19
2.19	child	2.19.0
2.19.0	child	2.19.0.0
2.19.0	child	2.19.0.1
2.19.0	child	2.19.0.2
2	child	2.20
2.20	child	2.20.0
2.20.0	child	2.20.0.0
2	child	2.21
2	child	2.22
2.22	child	2.22.0
